words,southwest_lng,southwest_lat,northeast_lng,northeast_lat,nearestPlace,pt_lng,pt_lat,country,language
penguin.microscopic.from,131.438674,-23.213185,131.438703,-23.213158,"Kintore, Northern Territory",131.438688,-23.213171,AU,en
penguin.telescopic.over,129.808474,-16.079803,129.808502,-16.079776,"Kununurra, Western Australia",129.808488,-16.079789,AU,en
penguin.cool.also,-111.636434,36.675695,-111.6364,36.675722,"LeChee, Arizona",-111.636417,36.675709,US,en
penguin.clown.also,135.865902,-21.538891,135.865931,-21.538864,"Ampilatwatja, Northern Territory",135.865916,-21.538877,AU,en
penguin.cool.case,144.557115,-23.63985,144.557145,-23.639823,"Longreach, Queensland",144.55713,-23.639837,AU,en
penguin.lifelike.just,151.273784,-25.855326,151.273814,-25.855299,"Gayndah, Queensland",151.273799,-25.855312,AU,en
penguin.lifelike.into,139.64932,-17.918095,139.649348,-17.918068,"Burketown, Queensland",139.649334,-17.918082,AU,en
penguin.lifelike.last,131.014663,-28.068834,131.014693,-28.068807,"Watarru, South Australia",131.014678,-28.06882,AU,en
penguin.opulence.just,132.797879,-23.076003,132.797908,-23.075976,"Alice Springs, Northern Territory",132.797893,-23.075989,AU,en
penguin.ambivalence.just,109.07293,59.818591,109.072984,59.818618,"Yerbogachen, Irkutsk Oblast",109.072957,59.818604,RU,en
penguin.opulence.much,141.570224,-16.935613,141.570253,-16.935586,"Karumba, Queensland",141.570238,-16.9356,AU,en
penguin.snout.even,-103.292237,31.60352,-103.292205,31.603547,"Wink, Texas",-103.292221,31.603533,US,en
penguin.snout.over,131.068531,-25.162597,131.068561,-25.16257,"Amata, South Australia",131.068546,-25.162584,AU,en
penguin.snout.give,114.992768,-25.008139,114.992798,-25.008112,"Carnarvon, Western Australia",114.992783,-25.008126,AU,en
penguin.nearly.with,-98.497289,27.689063,-98.497259,27.68909,"Benavides, Texas",-98.497274,27.689077,US,en
penguin.nearly.will,146.92146,-26.577054,146.921491,-26.577027,"Charleville, Queensland",146.921476,-26.57704,AU,en
penguin.nearly.when,149.193805,-21.841122,149.193834,-21.841095,"Sarina, Queensland",149.19382,-21.841109,AU,en
penguin.handles.next,-77.629592,44.222105,-77.629554,44.222132,"Quinte West, Ontario",-77.629573,44.222119,CA,en
penguin.handles.text,-97.330584,59.999434,-97.33053,59.999461,"Tadoule Lake, Manitoba",-97.330557,59.999447,CA,en
penguin.handles.exit,118.26492,-32.277113,118.264952,-32.277086,"Merredin, Western Australia",118.264936,-32.2771,AU,en
penguin.electric.they,126.371935,-25.024822,126.371964,-25.024795,"Warburton, Western Australia",126.371949,-25.024809,AU,en
penguin.electricity.they,128.29549,-16.424671,128.295518,-16.424644,"Kununurra, Western Australia",128.295504,-16.424658,AU,en
penguin.electric.many,145.066843,-18.256846,145.066871,-18.256819,"Ravenshoe, Queensland",145.066857,-18.256832,AU,en
penguin.peepholes.zone,109.004859,23.691597,109.004888,23.691624,"Laibin, Guangxi",109.004873,23.69161,CN,en
penguin.pendulum.zone,38.957295,9.270321,38.957322,9.270348,"Sendafa, Oromiya",38.957309,9.270335,ET,en
penguin.peepholes.jazz,37.141783,33.700841,37.141816,33.700868,"Jayrūd, Rif Dimashq",37.1418,33.700854,SY,en
